,card_number,user_id,holder_name,balance,issued_date,status,issued_year,balance_category,balance_outlier
count,5000,5000.0,5000,5000.0,5000,5000,5000.0,5000,5000.0
unique,5000,,1177,,,1,,5,
top,BMRC100001,,Rahul Hegde,,,ACTIVE,,Very High,
freq,1,,11,,,5000,,4011,
mean,,2500.5,,2489.5406,2024-01-09 13:33:01.440000,,2023.5232,,0.0
min,,1.0,,50.0,2022-01-01 00:00:00,,2022.0,,0.0
25%,,1250.75,,1248.75,2023-01-09 00:00:00,,2023.0,,0.0
50%,,2500.5,,2470.0,2024-01-18 00:00:00,,2024.0,,0.0
75%,,3750.25,,3700.5,2025-01-12 06:00:00,,2025.0,,0.0
max,,5000.0,,4999.0,2025-12-31 00:00:00,,2025.0,,0.0
std,,1443.5200033252052,,1416.7481059774873,,,1.1187994022256555,,0.0
